animation_name,category,trigger,variants_code,description,best_for,performance,complexity,notes
Fade In,Entrance,mount,"{ hidden: { opacity: 0 }, visible: { opacity: 1, transition: { duration: 0.4, ease: 'easeOut' } } }",Simple opacity fade on mount,Any element entering the DOM,Excellent,Low,Most universal entrance — use as default
Fade Up,Entrance,mount,"{ hidden: { opacity: 0, y: 24 }, visible: { opacity: 1, y: 0, transition: { duration: 0.5, ease: [0.22,1,0.36,1] } } }",Fades in while rising upward,Hero text, cards, sections,Excellent,Low,Use cubic bezier for premium feel
Fade Down,Entrance,mount,"{ hidden: { opacity: 0, y: -24 }, visible: { opacity: 1, y: 0, transition: { duration: 0.5, ease: 'easeOut' } } }",Fades in while falling downward,Dropdowns, navbars, tooltips,Excellent,Low,Good for elements entering from top
Fade Left,Entrance,mount,"{ hidden: { opacity: 0, x: -32 }, visible: { opacity: 1, x: 0, transition: { duration: 0.5, ease: [0.22,1,0.36,1] } } }",Slides in from left,Sidebars, list items, panels,Excellent,Low,Pair with staggerChildren for lists
Fade Right,Entrance,mount,"{ hidden: { opacity: 0, x: 32 }, visible: { opacity: 1, x: 0, transition: { duration: 0.5, ease: [0.22,1,0.36,1] } } }",Slides in from right,Off-canvas menus, detail panels,Excellent,Low,Great for split-screen layouts
Scale Up,Entrance,mount,"{ hidden: { opacity: 0, scale: 0.85 }, visible: { opacity: 1, scale: 1, transition: { duration: 0.4, ease: [0.34,1.56,0.64,1] } } }",Scales from small to full size with spring overshoot,Modals, cards, CTAs,Good,Low,The 1.56 bezier gives a micro spring bounce
Scale Down,Entrance,mount,"{ hidden: { opacity: 0, scale: 1.1 }, visible: { opacity: 1, scale: 1, transition: { duration: 0.35, ease: 'easeOut' } } }",Scales from large to normal,Hero images, background reveals,Good,Low,Creates cinematic entrance feel
Stagger List,Entrance,mount,"container: { hidden: {}, visible: { transition: { staggerChildren: 0.08, delayChildren: 0.1 } } } | item: { hidden: { opacity: 0, y: 16 }, visible: { opacity: 1, y: 0, transition: { duration: 0.4, ease: 'easeOut' } } }",Animates list items one after another,Nav menus, product grids, feature lists,Good,Medium,Use motion.ul for container and motion.li for items
Scroll Reveal,Scroll,viewport,"{ hidden: { opacity: 0, y: 40 }, visible: { opacity: 1, y: 0 } } | whileInView prop + viewport={{ once: true, amount: 0.3 }}",Triggers when element enters viewport,Section headers, content blocks, stats,Good,Low,Set once: true to avoid re-triggering
Parallax Scroll,Scroll,scroll,"useScroll + useTransform(scrollY{ [0{ 500]{ [0{ -100] })",Moves element at different scroll speed than page,Hero backgrounds, decorative elements,Good,Medium,Use will-change: transform for GPU acceleration
Spring Bounce,Interaction,hover/tap,"whileHover={{ scale: 1.05 }} whileTap={{ scale: 0.96 }} transition={{ type: 'spring'{ stiffness: 400{ damping: 20 }}",Bouncy spring on hover and tap,Buttons, cards, icons,Excellent,Low,The gold standard for interactive elements
Magnetic Hover,Interaction,hover,"useMotionValue + onMouseMove handler to track cursor offset{ animate x/y with spring",Element follows cursor magnetically,CTAs, nav items, creative elements,Good,High,Needs JS mouse tracking — premium feel
Press Effect,Interaction,tap,"whileTap={{ scale: 0.94{ boxShadow: 'none' }} transition={{ duration: 0.1 }}",Squishes on press like a physical button,All clickable buttons,Excellent,Low,Combine with scale 1.02 on hover for full effect
Ripple,Interaction,tap,Custom: inject absolutely positioned circle on click + animate scale 0→3 opacity 1→0 over 0.5s,Material-style ripple from click point,Buttons with flat design,Good,Medium,Needs JS click position tracking
Page Transition Fade,Navigation,route,"AnimatePresence + { initial:{ opacity:0 } animate:{ opacity:1 } exit:{ opacity:0 } transition:{ duration:0.3 }}",Cross-fades between pages/routes,All page transitions,Excellent,Low,Wrap route outlet in AnimatePresence
Page Transition Slide,Navigation,route,"AnimatePresence mode='wait' + { initial:{ x:'100%'{ opacity:0 } animate:{ x:0{ opacity:1 } exit:{ x:'-100%'{ opacity:0 } transition:{ duration:0.4{ ease:[0.22{1{0.36{1] }}}",Slides pages in/out like a native app,Mobile-first apps{ onboarding flows,Good,Medium,Use mode='wait' to prevent overlap
Shared Layout,Navigation,route,layoutId prop on matching elements across routes — Framer auto-animates between positions,Magic move between shared elements,Product → detail transitions{ nav indicators,Good,High,layoutId must match exactly between views
Modal Enter,State,boolean,"AnimatePresence + { initial:{ opacity:0{ scale:0.9{ y:20 } animate:{ opacity:1{ scale:1{ y:0 } exit:{ opacity:0{ scale:0.9{ y:20 } transition:{ duration:0.3{ ease:[0.34{1.56{0.64{1] }}",Modal pops open with spring from center,All modal dialogs,Good,Low,Backdrop: separate motion.div with opacity 0→0.6
Drawer Slide,State,boolean,"AnimatePresence + { initial:{ x:'100%' } animate:{ x:0 } exit:{ x:'100%' } transition:{ type:'spring'{ damping:30{ stiffness:300 }}",Side drawer slides in from edge,Mobile menus{ filter panels{ carts,Good,Low,Use x for horizontal{ y for vertical drawers
Skeleton Pulse,Loading,state,"animate={{ opacity:[0.5{1{0.5] }} transition={{ duration:1.5{ repeat:Infinity{ ease:'easeInOut' }}",Pulsing skeleton loading state,Cards{ images{ text blocks loading,Excellent,Low,Apply to gray placeholder divs only
Typing Cursor,Loading,state,"animate={{ opacity:[1{0] }} transition={{ duration:0.6{ repeat:Infinity{ repeatType:'reverse' }}",Blinking cursor for typing effects,AI chat{ code editors{ onboarding,Excellent,Low,Pair with text character-by-character reveal
Counter Roll,Data,mount,"Custom: useMotionValue(0) + useEffect animate to target value + display Math.round(motionValue)",Counts up to a number smoothly,Stats{ metrics{ dashboards,Good,Medium,Use useMotionValue + animate() for smooth interpolation
Progress Bar,Data,state,"{ initial:{ width:0 } animate:{ width: percentage+'%' } transition:{ duration:0.8{ ease:'easeOut' }}",Fills progress bar to target width,Upload progress{ skill bars{ steps,Excellent,Low,Animate width not scaleX for accurate bar fills
Notification Shake,Feedback,state,"{ animate:{ x:[0{-8{8{-6{6{-3{3{0] } transition:{ duration:0.5 }}",Shakes element to signal error,Form validation{ wrong password{ alerts,Excellent,Low,Keyframe array creates multi-step shake
Success Checkmark,Feedback,state,SVG pathLength animation: 0→1 on success state + scale bounce on container,Draws a checkmark on success,Form submission{ payments{ confirmations,Good,Medium,Animate stroke-dashoffset or use pathLength prop
Confetti Burst,Feedback,state,Multiple motion.divs with random x/y/rotate initial state animated outward from center on success,Celebration particle burst,Purchase complete{ achievements{ milestones,Good,High,Limit to 20-30 particles for performance
Accordion,Layout,click,"{ initial:{ height:0{ opacity:0 } animate:{ height:'auto'{ opacity:1 } exit:{ height:0{ opacity:0 } transition:{ duration:0.3{ ease:'easeInOut' }}",Expands/collapses content vertically,FAQs{ settings panels{ menus,Good,Low,Wrap content in AnimatePresence — height:'auto' works in FM
Tab Indicator,Layout,click,"layoutId='tab-indicator' on the active tab underline — moves fluidly between tabs",Active tab indicator slides between options,Tab navigation{ filter pills{ segments,Excellent,Low,layoutId is the key — same value on all instances
Tooltip,Layout,hover,"{ initial:{ opacity:0{ y:6{ scale:0.95 } animate:{ opacity:1{ y:0{ scale:1 } exit:{ opacity:0{ y:6 } transition:{ duration:0.15 }}",Small tooltip appears on hover,Icon buttons{ truncated text{ data points,Excellent,Low,Wrap in AnimatePresence with mode='wait'
Number Ticker,Data,scroll,"useInView + useMotionValue animate from 0 to final{ useTransform to format display",Counts up when scrolled into view,Landing stats{ dashboards{ social proof,Good,Medium,Combine with scroll reveal for max impact
Drag and Drop,Interaction,drag,"drag prop + dragConstraints + onDragEnd handler for reorder logic",Draggable reorderable element,Kanban boards{ playlists{ builders,Good,High,Use Reorder.Group and Reorder.Item for lists
